〆切	(しめきり)
カッコ良い	(かっこいい,かっこよい,かっこういい)
かっこ良い	(かっこいい,かっこよい,かっこういい)
がっちり屋	(がっちりや)
かって出る	(かってでる)
かっぱ巻	(かっぱまき)
カッパ巻き	(かっぱまき)
かっぱ巻き	(かっぱまき)
かっぽう着	(かっぽうぎ)
かっ飛ばす	(かっとばす)
カツ丼	(カツどん,かつどん)
かつ丼	(カツどん,かつどん)
かっ攫う	(かっさらう)
かっ血	(かっけつ)
かな漢字変換	(かなかんじへんかん)
かな交じり	(かなまじり)
かな交じり文	(かなまじりぶん)
かな遣い	(かなづかい)
かな使い	(かなづかい)
かな書き	(かながき)
カナ文字	(かなもじ)
かな文字	(かなもじ)
かに座	(かにざ)
かね尺	(かねじゃく,きょくしゃく)
カノン砲	(カノンほう,かのうほう)
カバー曲	(カバーきょく,カヴァーきょく)
かば色	(かばいろ)
かば焼	(かばやき)
かば焼き	(かばやき)
カビ臭い	(かびくさい,カビくさい)
かび臭い	(かびくさい,カビくさい)
カブト虫	(カブトムシ,かぶとむし)
かぶと虫	(カブトムシ,かぶとむし)
かぶり付く	(かぶりつく,かじりつく)
カポシ肉腫	(カポジにくしゅ,カポシにくしゅ)
カポジ肉腫	(カポジにくしゅ,カポシにくしゅ)
カマを掘る	(かまをほる)
かまを掘る	(かまをほる)
かま元	(かまもと)
カミソリ負け	(かみそりまけ)
かみそり負け	(かみそりまけ)
かみの毛	(かみのけ)
かみ締める	(かみしめる)
かみ分ける	(かみわける)
かみ付く	(かみつく)
かみ合う	(かみあう)
かみ合せる	(かみあわせる)
かみ合わせる	(かみあわせる)
かみ切る	(かみきる)
かみ殺す	(かみころす)
かみ砕く	(かみくだく)
かもし出す	(かもしだす)
カモ打ち	(かもうち)
カモ撃ち	(かもうち)
かも知れない	(かもしれない)
かも知れません	(かもしれません)
がらがら蛇	(がらがらへび,ガラガラヘビ)
ガラが悪い	(ガラがわるい,がらがわるい)
がらが悪い	(ガラがわるい,がらがわるい)
からすの濡れ羽色	(からすのぬればいろ)
カラスの行水	(からすのぎょうずい)
からすの行水	(からすのぎょうずい)
からす貝	(カラスガイ,からすがい)
ガラス綿	(ガラスめん)
からす鳴き	(からすなき)
ガラス張り	(ガラスばり)
カラテ家	(からてか)
からと言って	(からといって)
からみ合う	(からみあう)
からめ取る	(からめとる)
からめ手	(からめて,からめで)
から風	(からかぜ)
カラ咳	(からせき,からぜき)
から拭き	(からぶき)
カラ手形	(からてがた,くうてがた)
から揚げ	(からあげ)
かりん糖	(かりんとう)
かり出す	(かりだす)
かり立てる	(かりたてる)
ガリ勉	(がりべん,ガリベン)
がり勉	(がりべん,ガリベン)
カリ首	(かりくび)
カルメ焼	(カルメやき)
カルメ焼き	(カルメやき)
カレー饂飩	(カレーうどん)
かわり映え	(かわりばえ)
かんきつ類	(かんきつるい)
ガンギ車	(ガンギぐるま,がんぎぐるま)
がんぎ車	(ガンギぐるま,がんぎぐるま)
カンツリー倶楽部	(カントリークラブ,カントリー・クラブ)
カントリー倶楽部	(カントリークラブ,カントリー・クラブ)
かんな屑	(かんなくず)
ガンピ紙	(がんぴし)
かん腸	(かんちょう,カンチョウ)
かん夫	(かんぷ)
かん高い	(かんだかい)
かん口令	(かんこうれい)
がん首	(がんくび)
かん味	(かんみ)
かん養	(かんよう)
がん腫	(がんしゅ)
かん子	(かんし)
か流	(かりゅう)
か弱い	(かよわい)
カ所	(かしょ)
か条	(かじょう)
カ行	(かぎょう)
か行	(かぎょう)
ガ行	(ガぎょう)
ヵ月	(かげつ)
カ月	(かげつ)
か月	(かげつ)
キー入力	(キーにゅうりょく)
きかん気	(きかんき)
きき返す	(ききかえす)
きき眼	(ききめ)
キズ物	(きずもの,キズモノ)
きず薬	(きずぐすり)
ギター弦	(ギターげん)
ギックリ腰	(ぎっくりごし)
ぎっくり腰	(ぎっくりごし)
きつね火	(きつねび)
キツネ憑き	(きつねつき)
きっ抗	(きっこう)
きつ音	(きつおん)
きな粉	(きなこ)
きぬ擦れ	(きぬずれ)
キビ団子	(きびだんご)
きび団子	(きびだんご)
きまり悪い	(きまりわるい)
きまり文句	(きまりもんく)
きゅう舎	(きゅうしゃ)
ギョウ虫	(ぎょうちゅう,ギョウチュウ)
ぎょう虫	(ぎょうちゅう,ギョウチュウ)
きょう体	(きょうたい)
ぎょう倖	(ぎょうこう)
きょう正	(きょうせい)
ギリシア神話	(ギリシャしんわ,ギリシアしんわ)
ギリシア文字	(ギリシャもじ,ギリシアもじ)
ギリシャ神話	(ギリシャしんわ,ギリシアしんわ)
ギリシャ文字	(ギリシャもじ,ギリシアもじ)
キリスト教	(キリストきょう)
キリスト教徒	(キリストきょうと)
キリトリ線	(きりとりせん,キリトリせん)
キリル文字	(キリルもじ)
きり立つ	(きりたつ)
きり拓く	(きりひらく)
きり下げる	(きりさげる)
キレ者	(きれもの)
キロ米	(キロメートル,キロメーター,キロ・メートル)
き裂	(きれつ)
ギ酸	(ぎさん)
き損	(きそん)
くいしん坊	(くいしんぼう,くいしんぼ)
くい違い	(くいちがい)
くい違う	(くいちがう)
くい止める	(くいとめる)
クーポン券	(クーポンけん)
クエン酸	(くえんさん,クエンさん)
くくり付ける	(くくりつける)
くぐり戸	(くぐりど)
くさいものに蓋	(くさいものにふた)
くさび形	(くさびがた,けっけい,せっけい)
くさび形文字	(くさびがたもじ,せっけいもじ,けっけいもじ)
くされ縁	(くされえん)
クジラ肉	(げいにく,くじらにく,クジラにく)
くし焼き	(くしやき)
くじ引き	(くじびき)
クスクス笑う	(くすくすわらう,クスクスわらう)
くすくす笑う	(くすくすわらう,クスクスわらう)
くすり屋	(くすりや)
くすり箱	(くすりばこ)
くすり指	(くすりゆび)
くず粉	(くずこ)
くせ者	(くせもの,クセモノ)
クソミソに言う	(くそみそにいう)
クソ度胸	(クソどきょう,くそどきょう)
くそ度胸	(クソどきょう,くそどきょう)
クソ溜め	(くそだめ)
くそ溜め	(くそだめ)
くだもの屋	(くだものや)
くつくつ法師	(くつくつぼうし)
くっ付く	(くっつく)
くっ付ける	(くっつける)
くつ屋	(くつや)
くつ下	(くつした)
くつ一足	(くついっそく)
くどき文句	(くどきもんく)
くびり殺す	(くびりころす)
クビを長くする	(くびをながくする)
クビを切る	(くびをきる)
クビを傾げる	(くびをかしげる)
くぼ地	(くぼち,おうち)
くみ取り	(くみとり)
くみ取り口	(くみとりぐち)
くみ取る	(くみとる)
くみ取口	(くみとりぐち)
くみ上げる	(くみあげる)
くも助	(くもすけ)
くやし涙	(くやしなみだ)
クラフト紙	(クラフトし)
グラ付く	(ぐらつく,グラつく)
ぐら付く	(ぐらつく,グラつく)
くら替え	(くらがえ)
グリーン車	(グリーンしゃ)
グリーン券	(グリーンけん)
くり抜く	(くりぬく)
くり出す	(くりだす)
くり返し	(くりかえし)
くり返す	(くりかえす)
くり貫く	(くりぬく)
くり毛	(くりげ)
グループ分離キャラクタ	(グループぶんりキャラクタ)
グループ見出し	(グループみだし)
クル病	(くるびょう)
くる病	(くるびょう)
くる日	(くるひ)
くる日もくる日も	(くるひもくるひも)
グレゴリオ暦	(グレゴリオれき)
くれない色	(べにいろ,こうしょく,くれないいろ)
ぐれん隊	(ぐれんたい)
クローン動物	(クローンどうぶつ)
クローン技術	(クローンぎじゅつ)
クローン人間	(クローンにんげん)
くわ入れ式	(くわいれしき)
クンクン鳴く	(クンクンなく,くんくんなく)
くんくん鳴く	(クンクンなく,くんくんなく)
くん蒸	(くんじょう)
くん製	(くんせい)
ケイソウ土	(けいそうど)
けいそう土	(けいそうど)
けい部	(けいぶ)
けい動脈	(けいどうみゃく)
けい光	(けいこう)
ケイ素	(けいそ)
けい線	(けいせん)
けい線を引く	(けいせんをひく)
ケイ藻	(けいそう)
ケイ藻土	(けいそうど)
ケーソン病	(ケーソンびょう)
ケーソン工法	(ケーソンこうほう)
ケガ人	(けがにん)
けが人	(けがにん)
げきを飛ばす	(げきをとばす)
けさ方	(けさがた)
けずり落とす	(けずりおとす)
ゲタを預ける	(げたをあずける)
げたを預ける	(げたをあずける)
げた履き	(げたばき)
ゲタ箱	(げたばこ)
げた箱	(げたばこ)
ケチを付ける	(ケチをつける,けちをつける)
けちを付ける	(ケチをつける,けちをつける)
けちん坊	(けちんぼう,けちんぼ,ケチンボ)
ケツの穴	(けつのあな,しりのあな)
けつの穴	(けつのあな,しりのあな)
ゲッ歯類	(げっしるい)
げっ歯類	(げっしるい)
ゲテ物	(ゲテモノ,げてもの)
ケラケラ笑う	(ケラケラわらう,けらけらわらう)
けらけら笑う	(ケラケラわらう,けらけらわらう)
ゲラゲラ笑う	(ゲラゲラわらう,げらげらわらう)
げらげら笑う	(ゲラゲラわらう,げらげらわらう)
ゲリラ兵	(ゲリラへい)
ゲリラ戦	(ゲリラせん)
けり殺す	(けりころす)
けり込む	(けりこむ)
ケンカ腰	(けんかごし)
けんか腰	(けんかごし)
けんしょう炎	(けんしょうえん)
けんせい球	(けんせいきゅう)
けんつくを食わす	(けんつくをくわす)
ケント紙	(ケントし)
ゲンを担ぐ	(げんをかつぐ,ゲンをかつぐ)
げんを担ぐ	(げんをかつぐ,ゲンをかつぐ)
けん銃	(けんじゅう)
けん怠感	(けんたいかん)
けん盤	(けんばん)
けん騒	(けんそう)
けん引	(けんいん,けんびき)
けん引車	(けんいんしゃ)
けん玉	(けんだま)
けん伝	(けんでん)
けん責	(けんせき)
けん制	(けんせい)
けん制球	(けんせいきゅう)
け飛ばす	(けとばす)
ヶ所	(かしょ)
ヶ月	(かげつ)
コウジ菌	(こうじきん,きくきん)
こうじ菌	(こうじきん,きくきん)
コウモリ傘	(こうもりがさ,コウモリがさ)
こうもり傘	(こうもりがさ,コウモリがさ)
ごう慢	(ごうまん)
こう門	(こうもん)
こう配	(こうばい)
こう頭	(こうとう)
こう丸	(こうがん)
こう言う	(こういう,こうゆう,こーゆー)
こう薬	(こうやく,あぶらぐすり)
こう着	(こうちゃく)
こう着状態	(こうちゃくじょうたい)
コードレス電話	(コードレスでんわ)
コーヒー豆	(コーヒーまめ)
コール天	(コールてん,コールテン)
こき下ろす	(こきおろす)
こぎ着ける	(こぎつける)
こげ茶	(こげちゃ)
こげ臭い	(こげくさい)
こころ細い	(こころぼそい)
こじ付ける	(こじつける)
こし入れ	(こしいれ)
コスト効率	(コストこうりつ)
こすり付ける	(こすりつける,すりつける)
こすれ合う	(すれあう,こすれあう)
コソ泥	(こそどろ,コソドロ)
こそ泥	(こそどろ,コソドロ)
コタツ布団	(こたつぶとん)
こたつ布団	(こたつぶとん)
ごった返す	(ごったがえす)
こっぱ微塵	(こっぱみじん)
コツを覚える	(コツをおぼえる,こつをおぼえる)
こつを覚える	(コツをおぼえる,こつをおぼえる)
ことが出来る	(ことができる)
ことなかれ主義	(ことなかれしゅぎ)
ことの他	(ことのほか)
ことば遣い	(ことばづかい)
こどもの日	(こどものひ)
こども用	(こどもよう)
ことを好む	(ことをこのむ)
こと霊	(ことだま)
こと欠かない	(ことかかない)
こと切れる	(こときれる)
こと無く	(ことなく)
こと細か	(ことこまか)
こと細かに	(ことこまかに)
こと足りる	(ことたりる)
このような場合に	(このようなばあいに)
この場合	(このばあい)
この度	(このたび,こたび)
この辺	(このへん)
この間	(このあいだ,このかん)
この結果	(このけっか)
この頃	(このごろ)
この外	(このほか)
こぶ茶	(こぶちゃ,こんぶちゃ)
こぼし話	(こぼしばなし)
こまを回す	(こまをまわす)
コマ撮り	(コマどり,こまどり)
こま撮り	(コマどり,こまどり)
コマ割り	(コマわり)
コマ落し	(こまおとし)
コマ落とし	(こまおとし)
こま犬	(こまいぬ)
ゴマ塩	(ごましお,ゴマしお)
ごま塩	(ごましお,ゴマしお)
ゴマ油	(ごまあぶら,ゴマあぶら)
ごま油	(ごまあぶら,ゴマあぶら)
ゴミ集積場	(ゴミしゅうせきじょう)
ゴミ入	(ごみいれ,ゴミいれ)
ゴミ入れ	(ごみいれ,ゴミいれ)
ごみ入れ	(ごみいれ,ゴミいれ)
ゴミ箱	(ごみばこ)
ごみ箱	(ごみばこ)
ゴムの木	(ゴムのき,ごむのき,ゴムノキ)
ごむの木	(ゴムのき,ごむのき,ゴムノキ)
こむら返り	(こむらがえり)
ごめん下さい	(ごめんください)
こり固まる	(こりかたまる)
ゴルフ場	(ゴルフじょう)
ゴルフ倶楽部	(ゴルフクラブ,ゴルフ・クラブ)
これと同じ	(これとおなじ)
これ程	(これほど)
これ等	(これら)
これ迄	(これまで)
コロンブスの卵	(コロンブスのたまご)
コロンブスの玉子	(コロンブスのたまご)
ゴロ合わせ	(ごろあわせ)
